id, sex, country
1 , 0 , 0
2 , 2 , 1
3 , 1 , 1
4 , 1 , 1
5 , 1 , 3
6 , 1 , 3
7 , 1 , 1
8 , 1 , 3
9 , 1 , 3
10 , 1 , 3
11 , 1 , 1
12 , 1 , 3
13 , 1 , 1
14 , 2 , 3
15 , 1 , 1
16 , 0 , 0
17 , 1 , 1
18 , 1 , 3
19 , 1 , 1
20 , 1 , 1
21 , 1 , 1
22 , 1 , 1
23 , 1 , 1
24 , 1 , 1
25 , 1 , 1
26 , 1 , 1
27 , 1 , 1
28 , 1 , 1
29 , 1 , 1
30 , 1 , 3
31 , 1 , 1
32 , 1 , 2
33 , 1 , 3
34 , 1 , 1
35 , 1 , 1
36 , 1 , 2
37 , 1 , 1
38 , 2 , 1
39 , 1 , 3
40 , 1 , 3
41 , 1 , 2
42 , 1 , 3
43 , 1 , 1
44 , 2 , 2
45 , 1 , 1
46 , 1 , 1
47 , 2 , 1
48 , 1 , 3
49 , 1 , 3
50 , 1 , 2
51 , 1 , 2
52 , 1 , 2
53 , 1 , 1
54 , 2 , 3
55 , 1 , 2
56 , 1 , 1
57 , 1 , 1
58 , 2 , 3
59 , 1 , 3
60 , 1 , 2
61 , 1 , 2
62 , 1 , 2
63 , 1 , 1
64 , 1 , 2
65 , 1 , 2
66 , 1 , 1
67 , 1 , 1
68 , 1 , 1
69 , 1 , 1
70 , 1 , 2
71 , 1 , 2
72 , 1 , 1
73 , 1 , 1
74 , 1 , 1
75 , 1 , 1
76 , 1 , 1
77 , 1 , 1
78 , 1 , 1
79 , 1 , 1
80 , 1 , 1
81 , 1 , 1
82 , 1 , 2
83 , 1 , 0
84 , 1 , 0
85 , 2 , 1
86 , 1 , 1
87 , 1 , 1
88 , 1 , 2
89 , 1 , 1
90 , 1 , 2
91 , 1 , 1
92 , 1 , 1
93 , 1 , 2
94 , 1 , 1
95 , 1 , 2
96 , 1 , 1
97 , 1 , 1
98 , 1 , 2
99 , 1 , 3
100 , 2 , 3
101 , 1 , 3
102 , 1 , 3
103 , 2 , 3
104 , 1 , 3
105 , 1 , 3
106 , 1 , 1
107 , 1 , 3
108 , 1 , 2
109 , 2 , 1
110 , 1 , 1
111 , 1 , 1
112 , 1 , 1
113 , 1 , 1
114 , 1 , 3
115 , 2 , 1
116 , 1 , 2
117 , 1 , 1
118 , 1 , 1
119 , 1 , 0
120 , 1 , 1
121 , 1 , 3
122 , 1 , 3
123 , 1 , 3
124 , 1 , 1
125 , 1 , 3
126 , 1 , 3
127 , 2 , 3
128 , 1 , 2
129 , 1 , 2
130 , 1 , 1
131 , 1 , 1
132 , 0 , 0
133 , 1 , 1
134 , 1 , 1
135 , 1 , 1
136 , 1 , 0
137 , 1 , 1
138 , 1 , 1
139 , 2 , 2
140 , 1 , 0
141 , 1 , 3
142 , 1 , 2
143 , 1 , 3
144 , 1 , 3
145 , 1 , 3
146 , 0 , 0
147 , 1 , 2
148 , 0 , 0
149 , 1 , 3
150 , 1 , 1
151 , 1 , 1
152 , 2 , 1
153 , 1 , 1
154 , 1 , 1
155 , 1 , 1
156 , 1 , 3
157 , 1 , 1
158 , 1 , 2
159 , 1 , 3
160 , 1 , 1
161 , 1 , 3
162 , 1 , 3
163 , 2 , 2
164 , 1 , 1
165 , 0 , 0
166 , 1 , 1
167 , 1 , 2
168 , 1 , 1
169 , 1 , 1
170 , 1 , 1
171 , 1 , 1
172 , 2 , 2
173 , 1 , 1
174 , 1 , 1
175 , 1 , 2
176 , 1 , 3
177 , 2 , 1
178 , 1 , 1
179 , 1 , 1
180 , 1 , 2
181 , 1 , 2
182 , 1 , 2
183 , 1 , 3
184 , 1 , 1
185 , 1 , 1
186 , 1 , 3
187 , 1 , 1
188 , 1 , 2
189 , 2 , 3
190 , 1 , 1
191 , 2 , 1
192 , 1 , 1
193 , 1 , 2
194 , 1 , 2
195 , 1 , 3
196 , 1 , 3
197 , 1 , 3
198 , 1 , 3
199 , 1 , 2
200 , 1 , 3
201 , 1 , 3
202 , 1 , 2
203 , 1 , 3
204 , 1 , 3
205 , 1 , 1
206 , 1 , 2
207 , 1 , 0
208 , 1 , 1
209 , 1 , 1
210 , 1 , 1
211 , 0 , 0
212 , 2 , 3
213 , 0 , 0
214 , 1 , 1
215 , 1 , 1
216 , 1 , 2
217 , 1 , 1
218 , 1 , 3
219 , 1 , 1
220 , 1 , 1
221 , 2 , 2
222 , 1 , 2
223 , 1 , 2
224 , 1 , 1
225 , 2 , 1
226 , 1 , 1
227 , 1 , 1
228 , 1 , 1
229 , 1 , 1
230 , 1 , 3
231 , 0 , 0
232 , 0 , 0
233 , 1 , 1
234 , 1 , 3
235 , 1 , 2
236 , 1 , 2
237 , 1 , 2
238 , 1 , 1
239 , 1 , 3
240 , 1 , 1
241 , 1 , 0
242 , 0 , 0
243 , 1 , 2
244 , 1 , 2
245 , 0 , 0
246 , 0 , 0
247 , 0 , 0
248 , 1 , 3
249 , 1 , 1
250 , 1 , 3
251 , 1 , 2
252 , 1 , 0
253 , 1 , 0
254 , 1 , 2
255 , 1 , 2
256 , 1 , 2
257 , 2 , 2
258 , 1 , 2
259 , 1 , 3
260 , 0 , 0
261 , 1 , 3
262 , 1 , 3
263 , 0 , 0
264 , 2 , 1
265 , 2 , 1
266 , 1 , 0
267 , 1 , 3
268 , 1 , 0
269 , 1 , 0
270 , 1 , 2
271 , 1 , 2
272 , 1 , 1
273 , 1 , 2
274 , 1 , 2
275 , 1 , 2
276 , 1 , 2
277 , 1 , 2
278 , 1 , 3
279 , 1 , 2
280 , 1 , 2
281 , 0 , 0
282 , 0 , 0
283 , 1 , 2
